,Year,Center,Region,Opened?,Operating?,HP Number,Total Hours,New Hires
98,2.0,4.0,4.0,1.0,1.0,31.0,436193.29,0.0
99,3.0,4.0,4.0,1.0,1.0,31.0,457883.58,0.0
100,0.0,4.0,5.0,1.0,1.0,31.0,,
101,1.0,4.0,5.0,1.0,1.0,31.0,0.0,0.0
102,2.0,4.0,5.0,1.0,1.0,31.0,0.0,0.0
103,3.0,4.0,5.0,1.0,1.0,31.0,0.0,0.0
104,0.0,4.0,6.0,1.0,1.0,31.0,,
105,1.0,4.0,6.0,1.0,1.0,31.0,0.0,0.0
106,2.0,4.0,6.0,1.0,1.0,31.0,0.0,0.0
107,3.0,4.0,6.0,1.0,1.0,31.0,0.0,0.0
108,0.0,4.0,7.0,1.0,1.0,31.0,,
109,1.0,4.0,7.0,1.0,1.0,31.0,0.0,0.0
110,2.0,4.0,7.0,1.0,1.0,31.0,0.0,0.0
111,3.0,4.0,7.0,1.0,1.0,31.0,0.0,0.0
112,0.0,5.0,1.0,0.0,0.0,0.0,,
113,1.0,5.0,1.0,0.0,1.0,87.0,405549.17,87.0
114,2.0,5.0,1.0,0.0,1.0,91.0,424348.52,4.0
115,3.0,5.0,1.0,0.0,1.0,91.0,443401.03,0.0
116,0.0,5.0,2.0,0.0,0.0,0.0,,
117,1.0,5.0,2.0,0.0,1.0,87.0,0.0,87.0
118,2.0,5.0,2.0,0.0,1.0,91.0,0.0,4.0
119,3.0,5.0,2.0,0.0,1.0,91.0,0.0,0.0
120,0.0,5.0,3.0,0.0,0.0,0.0,,
121,1.0,5.0,3.0,0.0,1.0,87.0,468109.93,87.0
122,2.0,5.0,3.0,0.0,1.0,91.0,492257.8,4.0
123,3.0,5.0,3.0,0.0,1.0,91.0,457421.68,0.0
124,0.0,5.0,4.0,0.0,0.0,0.0,,
125,1.0,5.0,4.0,0.0,1.0,87.0,0.0,87.0
126,2.0,5.0,4.0,0.0,1.0,91.0,0.0,4.0
127,3.0,5.0,4.0,0.0,1.0,91.0,0.0,0.0
128,0.0,5.0,5.0,0.0,0.0,0.0,,
129,1.0,5.0,5.0,0.0,1.0,87.0,425322.55,87.0
130,2.0,5.0,5.0,0.0,1.0,91.0,444665.64,4.0
131,3.0,5.0,5.0,0.0,1.0,91.0,464177.28,0.0
132,0.0,5.0,6.0,0.0,0.0,0.0,,
133,1.0,5.0,6.0,0.0,1.0,87.0,0.0,87.0
134,2.0,5.0,6.0,0.0,1.0,91.0,0.0,4.0
135,3.0,5.0,6.0,0.0,1.0,91.0,0.0,0.0
136,0.0,5.0,7.0,0.0,0.0,0.0,,
137,1.0,5.0,7.0,0.0,1.0,87.0,0.0,87.0
138,2.0,5.0,7.0,0.0,1.0,91.0,0.0,4.0
139,3.0,5.0,7.0,0.0,1.0,91.0,0.0,0.0
140,0.0,6.0,1.0,0.0,0.0,0.0,,
141,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
142,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
143,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
144,0.0,6.0,2.0,0.0,0.0,0.0,,
145,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
146,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
147,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
148,0.0,6.0,3.0,0.0,0.0,0.0,,
149,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
150,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
151,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
152,0.0,6.0,4.0,0.0,0.0,0.0,,
153,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
154,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
155,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
156,0.0,6.0,5.0,0.0,0.0,0.0,,
157,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
158,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
159,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
160,0.0,6.0,6.0,0.0,0.0,0.0,,
161,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
162,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
163,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
164,0.0,6.0,7.0,0.0,0.0,0.0,,
165,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
166,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
167,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
